INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,RELIABILITY,RELIABILITY,RELIABILITY,CONTROL,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT
ID,type,functional_status,nominal_LL_voltage,a,b,c,expected_generation,R0,R1,short_circuit_3,short_circuit_SLG,unit_commit_cost,unit_marginal_cost,voltage_angle,X0,X1,min_PU_voltage,max_PU_voltage,max_area_control_error,operational_status,a_PU_voltage,b_PU_voltage,c_PU_voltage,a_voltage,b_voltage,c_voltage,a_voltage_angle,b_voltage_angle,c_voltage_angle,a_current,b_current,c_current,n_current,a_current_angle,b_current_angle,c_current_angle,n_current_angle,real_power,reactive_power,area_control_error,unit_net_cost
100,1301,1,69,1,1,1,0,0.0001,0.0001,1000,10000,0,0,30,0.0001,0.0001,0.9,1.1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
