INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,VARIABLE,RELIABILITY,RELIABILITY,CONTROL,CONTROL,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT
ID,type,functional_status,nominal_LL_voltage,a,b,c,cut_in_percent,cut_out_percent,min_power_factor,model,pveff_curve_ID,pvtemp_curve_ID,rated_inverter,rated_capacity,unit_commit_cost,unit_marginal_cost,wiring,irradiance,min_PU_voltage,max_PU_voltage,operational_status,power_factor_control,a_PU_voltage,b_PU_voltage,c_PU_voltage,a_voltage,b_voltage,c_voltage,a_voltage_angle,b_voltage_angle,c_voltage_angle,a_current,b_current,c_current,n_current,a_current_angle,b_current_angle,c_current_angle,n_current_angle,real_power,reactive_power,unit_net_cost
862,1304,1,24.9,1,1,1,0,110,0.85,1,1,2,210,200,0,0,1,900,0.85,1.1,1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,1304,1,24.9,1,1,1,0,110,0.85,1,1,2,210,200,0,0,1,900,0.85,1.1,1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
