INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,RELIABILITY,CONTROL,CONTROL,CONTROL,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT
ID,type,terminal_1_ID,terminal_2_ID,functional_status_a,functional_status_b,functional_status_c,a,b,c,length,neutral_wiredata_id,phase_wiredata_id,soil_resistivity,x_a_coordinate,x_b_coordinate,x_c_coordinate,x_n_coordinate,h_a_coordinate,h_b_coordinate,h_c_coordinate,h_n_coordinate,angle_delta_limit,operational_status_a,operational_status_b,operational_status_c,a_1_current,b_1_current,c_1_current,n_1_current,a_1_current_angle,b_1_current_angle,c_1_current_angle,n_1_current_angle,a_2_current,b_2_current,c_2_current,n_2_current,a_2_current_angle,b_2_current_angle,c_2_current_angle,n_2_current_angle,a_PU_capacity,b_PU_capacity,c_PU_capacity,real_power_1,reactive_power_1,real_power_2,reactive_power_2,real_power_losses,reactive_power_losses,angle_delta
