INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,RELIABILITY,CONTROL,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT
ID,type,terminal_1_ID,terminal_2_ID,functional_status,a,angle_delta_limit,operational_status,a_1_current,a_1_current_angle,a_2_current,a_2_current_angle,real_power_1,reactive_power_1,real_power_2,reactive_power_2,real_power_losses,reactive_power_losses,angle_delta
