INPUT,INPUT,INPUT,INPUT
ID,type,generator_ID,junction_ID
101,9001,101,1
102,9001,201,1
103,9001,301,1
104,9001,401,1
105,9001,102,2
106,9001,202,2
107,9001,302,2
108,9001,402,2
109,9001,107,7
110,9001,207,7
111,9001,307,7
112,9001,113,13
113,9001,213,13
114,9001,313,13
115,9001,115,15
116,9001,215,15
117,9001,315,15
118,9001,415,15
119,9001,515,15
120,9001,615,15
121,9001,116,16
122,9001,118,18
123,9001,121,18
124,9001,123,33
125,9001,223,33
126,9001,323,33
