Water demand,System deficit,Junctin 1 deficit,Junction 2 deficit,Junction 3 deficit,Junction 5 deficit,Junction 6 deficit,Junction 7 deficit,Junction 8 deficit,Junction 9 deficit,Junction 10 deficit,Junction 13 deficit,Junction 14 deficit,Junction 15 deficit,Junction 16 deficit,Junction 18 deficit,Junction 19 deficit,Junction 28 deficit
0.440353222,17917.97393,1.74E-05,7.65E-05,0,0,0.000102704,0.000161834,0.000369678,0.000128911,0.000131035,0,0.000152994,17917.9726,0,0.000189821,0,0
0.445576316,18130.50327,5.46E-05,0.000105047,0,0.000102474,0,1.76E-05,0.000458321,0.000317558,0,6.84E-05,0.000210094,18130.5003,0.000111707,0.000896663,0.000330878,0.000301044
0.45079941,18343.02998,9.19E-05,0.000133597,0,0,0,0,0,0,0.000443237,0,0.000267195,18343.02799,0,0,0,0.00105544
0.456022504,18555.55948,0.000129202,0.000162148,0,0.000168796,0.000184359,0.000217305,0,0,0.000111057,4.81E-06,0.000324295,18555.55569,0,0.000357222,0.00032762,0.001809836
0.461245598,18768.08538,0.00016648,0.000190698,0.000440227,7.99E-05,4.88E-05,7.30E-05,0,0,0,0.000461282,0.000381396,18768.08338,0.000156084,0,0,0
0.466468692,10863.03695,0.000203758,0.000219248,0.000339597,0,0,0,0,9.56E-05,0.00042326,0,0.000438496,10863.03491,0,0,0.000324361,0
0.471691786,11279.86073,0.000241037,0,0.000238967,0,0.000266014,0,0,0.00028423,9.11E-05,0.000397665,0,11279.8585,2.29E-05,0.000524623,0,0.000166774
0.47691488,19405.66879,0,0,0.000138337,0,0.000130472,0.000128506,1.36E-05,0.000472877,0,0,0,19405.66647,0.000200461,0,0.000321102,0.00092117
0.482137974,19618.19659,0,0,3.77E-05,0.000212531,0,0,0.000102263,0,0.000403282,0,0,19618.19416,0,0,0,0.001675566
0.487361068,19830.72411,0,0,0,0.000123621,0,0,0.000190907,0,7.11E-05,0.00079052,0,19830.72186,6.73E-05,0.000692024,0.000317844,0
0.492584162,20043.25038,0,0,0,3.47E-05,0,0.000183977,0.000279551,6.23E-05,0,0.00027043,0,20043.24955,0,0,0,0
0.497807256,20255.77879,0,0,0,0,0,3.97E-05,0.000368194,0.000250903,0.000383305,0,0,20255.77725,0,0.000152583,0.000314585,3.25E-05
0.50303035,20468.30808,0,0,0,0,0.000429325,0,0.000456837,0.00043955,5.11E-05,0,0,20468.30494,0.000111662,0.000859425,0,0.0007869
0.508253444,20680.8357,1.37E-05,0,0,0,0.000293783,0.000239449,0,0,0,0.000663285,0,20680.83264,0,0,0.000311327,0.001541296
0.513476538,20893.36194,5.10E-05,0,0.00041049,0.000167356,0.000158241,0,0,0,0.000363327,0.000143195,0,20893.36033,0,0.000319984,0,0
0.518699632,21105.88954,8.83E-05,1.65E-05,0.00030986,7.84E-05,2.27E-05,0.00043919,0,2.89E-05,3.11E-05,0,3.29E-05,21105.88803,0.000156039,0,0.000308068,0
0.523922726,21318.4167,0.000125538,4.50E-05,0.00020923,0,0,0.00029492,0,0.000217575,0,0,9.00E-05,21318.41572,0,0,0,0
0.52914582,21530.94681,0.000162816,7.36E-05,0.0001086,0,0,0.00015065,0,0.000406222,0.00034335,0.00053605,0.00014714,21530.94342,2.29E-05,0.000487385,0.00030481,0.00065263
0.534368914,21743.47328,0.000200094,0.00010212,7.97E-06,0,0,6.38E-06,1.21E-05,0,1.12E-05,1.60E-05,0.00020424,21743.47111,0.000200416,0,0,0.001407026
0.539592008,21956.00051,0.000237373,0.00013067,0,0.000211091,0.000457093,0,0.000100779,0,0,0,0.000261341,21955.99881,0,0,0.000301551,0
0.544815102,22168.52959,0,0.000159221,0,0.000122182,0.000321551,0,0.000189423,0,0.000323372,0.000928905,0.000318441,22168.5265,6.72E-05,0.000654786,0,0
0.550038196,22381.05615,0,0.000187771,0,3.33E-05,0.000186009,0,0.000278066,0.000184248,0,0.000408815,0.000375542,22381.0542,0,0,0.000298293,0
0.55526129,22593.58437,0,0.000216321,0,0,5.05E-05,0.000405862,0.00036671,0.000372895,0,0,0.000432643,22593.58189,0,0.000115345,0,0.00051836
