4,"[3, 15, 19]",0,0.00%
4,"[3, 15]",0,0.00%
4,"[3, 6, 15, 16]",0,0.00%
4,"[3, 6, 15, 19]",0,0.00%
4,"[3, 6, 15]",0,0.00%
4,"[3, 6, 9, 15]",0,0.00%
4,"[3, 9, 15, 16]",0,0.00%
4,"[3, 9, 15, 19]",0,0.00%
4,"[3, 9, 15]",0,0.00%
4,"[6, 15, 16, 19]",0,0.00%
4,"[6, 15, 16]",0,0.00%
4,"[6, 15, 19]",0,0.00%
4,"[6, 15]",0,0.00%
4,"[6, 9, 15, 16]",0,0.00%
4,"[6, 9, 15, 19]",0,0.00%
4,"[6, 9, 15]",0,0.00%
4,"[9, 15, 16, 19]",0,0.00%
4,"[9, 15, 16]",0,0.00%
4,"[9, 15, 19]",0,0.00%
4,"[9, 15]",0,0.00%
6,[16],10,19.61%
6,"[16, 19]",4,7.84%
6,"[16, 6]",4,7.84%
6,[19],4,7.84%
6,[6],4,7.84%
6,"[16, 19, 6]",1,1.96%
6,"[19, 6]",1,1.96%
8,[16],2,3.92%
9,[15],51,100.00%
9,"[16, 15]",51,100.00%
9,"[16, 18, 15]",51,100.00%
9,"[16, 18, 19, 15]",51,100.00%
9,"[16, 18, 19]",51,100.00%
9,"[16, 18]",51,100.00%
9,"[16, 19, 15]",51,100.00%
9,"[16, 19]",51,100.00%
9,[16],51,100.00%
9,"[18, 15]",51,100.00%
9,"[18, 19, 15]",51,100.00%
9,"[18, 19]",51,100.00%
9,[18],51,100.00%
9,"[19, 15]",51,100.00%
9,[19],51,100.00%
24,"[1, 2, 5, 7]",51,100.00%
24,"[1, 2, 5, 8]",51,100.00%
24,"[1, 2, 5]",51,100.00%
24,"[1, 2, 7, 8]",51,100.00%
24,"[1, 2, 7]",51,100.00%
24,"[1, 2, 8]",51,100.00%
24,"[1, 2]",51,100.00%
24,"[1, 5, 7, 8]",51,100.00%
24,"[1, 5, 7]",51,100.00%
24,"[1, 5, 8]",51,100.00%
24,"[1, 5]",51,100.00%
24,"[1, 7, 8]",51,100.00%
24,"[1, 7]",51,100.00%
24,"[1, 8]",51,100.00%
24,[1],51,100.00%
24,"[2, 5, 7, 8]",51,100.00%
24,"[2, 5, 7]",51,100.00%
24,"[2, 5, 8]",51,100.00%
24,"[2, 5]",51,100.00%
24,"[2, 7, 8]",51,100.00%
24,"[2, 7]",51,100.00%
24,"[2, 8]",51,100.00%
24,[2],51,100.00%
24,"[5, 7, 8]",51,100.00%
24,"[5, 7]",51,100.00%
24,"[5, 8]",51,100.00%
24,[5],51,100.00%
24,"[7, 8]",51,100.00%
24,[7],51,100.00%
24,[8],51,100.00%
25,"[1, 10]",51,100.00%
25,"[1, 2, 10]",51,100.00%
25,"[1, 2, 5, 10]",51,100.00%
25,"[1, 2, 5, 7]",51,100.00%
25,"[1, 2, 5, 8]",51,100.00%
25,"[1, 2, 5]",51,100.00%
25,"[1, 2, 7, 10]",51,100.00%
25,"[1, 2, 7, 8]",51,100.00%
25,"[1, 2, 7]",51,100.00%
25,"[1, 2, 8, 10]",51,100.00%
25,"[1, 2, 8]",51,100.00%
25,"[1, 2]",51,100.00%
25,"[1, 5, 10]",51,100.00%
25,"[1, 5, 7, 10]",51,100.00%
25,"[1, 5, 7, 8]",51,100.00%
25,"[1, 5, 7]",51,100.00%
25,"[1, 5, 8, 10]",51,100.00%
25,"[1, 5, 8]",51,100.00%
25,"[1, 5]",51,100.00%
25,"[1, 7, 10]",51,100.00%
25,"[1, 7, 8, 10]",51,100.00%
25,"[1, 7, 8]",51,100.00%
25,"[1, 7]",51,100.00%
25,"[1, 8, 10]",51,100.00%
25,"[1, 8]",51,100.00%
25,[1],51,100.00%
25,[10],51,100.00%
25,"[2, 10]",51,100.00%
25,"[2, 5, 10]",51,100.00%
25,"[2, 5, 7, 10]",51,100.00%
25,"[2, 5, 7, 8]",51,100.00%
25,"[2, 5, 7]",51,100.00%
25,"[2, 5, 8, 10]",51,100.00%
25,"[2, 5, 8]",51,100.00%
25,"[2, 5]",51,100.00%
25,"[2, 7, 10]",51,100.00%
25,"[2, 7, 8, 10]",51,100.00%
25,"[2, 7, 8]",51,100.00%
25,"[2, 7]",51,100.00%
25,"[2, 8, 10]",51,100.00%
25,"[2, 8]",51,100.00%
25,[2],51,100.00%
25,"[5, 10]",51,100.00%
25,"[5, 7, 10]",51,100.00%
25,"[5, 7, 8, 10]",51,100.00%
25,"[5, 7, 8]",51,100.00%
25,"[5, 7]",51,100.00%
25,"[5, 8, 10]",51,100.00%
25,"[5, 8]",51,100.00%
25,[5],51,100.00%
25,"[7, 10]",51,100.00%
25,"[7, 8, 10]",51,100.00%
25,"[7, 8]",51,100.00%
25,[7],51,100.00%
25,"[8, 10]",51,100.00%
25,[8],51,100.00%
26,"[1, 10]",51,100.00%
26,"[1, 2, 10]",51,100.00%
26,"[1, 2, 5, 10]",51,100.00%
26,"[1, 2, 5, 7]",51,100.00%
26,"[1, 2, 5, 8]",51,100.00%
26,"[1, 2, 5]",51,100.00%
26,"[1, 2, 7, 10]",51,100.00%
26,"[1, 2, 7, 8]",51,100.00%
26,"[1, 2, 7]",51,100.00%
26,"[1, 2, 8, 10]",51,100.00%
26,"[1, 2, 8]",51,100.00%
26,"[1, 2]",51,100.00%
26,"[1, 5, 10]",51,100.00%
26,"[1, 5, 7, 10]",51,100.00%
26,"[1, 5, 7, 8]",51,100.00%
26,"[1, 5, 7]",51,100.00%
26,"[1, 5, 8, 10]",51,100.00%
26,"[1, 5, 8]",51,100.00%
26,"[1, 5]",51,100.00%
26,"[1, 7, 10]",51,100.00%
26,"[1, 7, 8, 10]",51,100.00%
26,"[1, 7, 8]",51,100.00%
26,"[1, 7]",51,100.00%
26,"[1, 8, 10]",51,100.00%
26,"[1, 8]",51,100.00%
26,[1],51,100.00%
26,[10],51,100.00%
26,"[2, 10]",51,100.00%
26,"[2, 5, 10]",51,100.00%
26,"[2, 5, 7, 10]",51,100.00%
26,"[2, 5, 7, 8]",51,100.00%
26,"[2, 5, 7]",51,100.00%
26,"[2, 5, 8, 10]",51,100.00%
26,"[2, 5, 8]",51,100.00%
26,"[2, 5]",51,100.00%
26,"[2, 7, 10]",51,100.00%
26,"[2, 7, 8, 10]",51,100.00%
26,"[2, 7, 8]",51,100.00%
26,"[2, 7]",51,100.00%
26,"[2, 8, 10]",51,100.00%
26,"[2, 8]",51,100.00%
26,[2],51,100.00%
26,"[5, 10]",51,100.00%
26,"[5, 7, 10]",51,100.00%
26,"[5, 7, 8, 10]",51,100.00%
26,"[5, 7, 8]",51,100.00%
26,"[5, 7]",51,100.00%
26,"[5, 8, 10]",51,100.00%
26,"[5, 8]",51,100.00%
26,[5],51,100.00%
26,"[7, 10]",51,100.00%
26,"[7, 8, 10]",51,100.00%
26,"[7, 8]",51,100.00%
26,[7],51,100.00%
26,"[8, 10]",51,100.00%
26,[8],51,100.00%
27,[5],50,98.04%
27,"[1, 10]",47,92.16%
27,"[1, 2, 10]",47,92.16%
27,"[1, 2, 5, 10]",47,92.16%
27,"[1, 2, 5, 7]",47,92.16%
27,"[1, 2, 5, 8]",47,92.16%
27,"[1, 2, 5]",47,92.16%
27,"[1, 2, 7, 10]",47,92.16%
27,"[1, 2, 7, 8]",47,92.16%
27,"[1, 2, 7]",47,92.16%
27,"[1, 2, 8, 10]",47,92.16%
27,"[1, 2, 8]",47,92.16%
27,"[1, 2]",47,92.16%
27,"[1, 5, 10]",47,92.16%
27,"[1, 5, 7, 10]",47,92.16%
27,"[1, 5, 7, 8]",47,92.16%
27,"[1, 5, 7]",47,92.16%
27,"[1, 5, 8, 10]",47,92.16%
27,"[1, 5, 8]",47,92.16%
27,"[1, 5]",47,92.16%
27,"[1, 7, 10]",47,92.16%
27,"[1, 7, 8, 10]",47,92.16%
27,"[1, 7, 8]",47,92.16%
27,"[1, 7]",47,92.16%
27,"[1, 8, 10]",47,92.16%
27,"[1, 8]",47,92.16%
27,[1],47,92.16%
27,[10],47,92.16%
27,"[2, 10]",47,92.16%
27,"[2, 5, 10]",47,92.16%
27,"[2, 5, 7, 10]",47,92.16%
27,"[2, 5, 7, 8]",47,92.16%
27,"[2, 5, 7]",47,92.16%
27,"[2, 5, 8, 10]",47,92.16%
27,"[2, 5, 8]",47,92.16%
27,"[2, 5]",47,92.16%
27,"[2, 7, 10]",47,92.16%
27,"[2, 7, 8, 10]",47,92.16%
27,"[2, 7, 8]",47,92.16%
27,"[2, 7]",47,92.16%
27,"[2, 8, 10]",47,92.16%
27,"[2, 8]",47,92.16%
27,[2],47,92.16%
27,"[5, 10]",47,92.16%
27,"[5, 7, 10]",47,92.16%
27,"[5, 7, 8, 10]",47,92.16%
27,"[5, 7, 8]",47,92.16%
27,"[5, 7]",47,92.16%
27,"[5, 8, 10]",47,92.16%
27,"[5, 8]",47,92.16%
27,"[7, 10]",47,92.16%
27,"[7, 8, 10]",47,92.16%
27,"[7, 8]",47,92.16%
27,[7],47,92.16%
27,"[8, 10]",47,92.16%
27,[8],47,92.16%
28,[10],49,96.08%
28,[7],49,96.08%
28,"[8, 10]",49,96.08%
28,[8],49,96.08%
28,"[1, 10]",48,94.12%
28,"[1, 2, 10]",48,94.12%
28,"[1, 2, 5, 10]",48,94.12%
28,"[1, 2, 5, 7]",48,94.12%
28,"[1, 2, 5, 8]",48,94.12%
28,"[1, 2, 5]",48,94.12%
28,"[1, 2, 7, 10]",48,94.12%
28,"[1, 2, 7, 8]",48,94.12%
28,"[1, 2, 7]",48,94.12%
28,"[1, 2, 8, 10]",48,94.12%
28,"[1, 2, 8]",48,94.12%
28,"[1, 2]",48,94.12%
28,"[1, 5, 10]",48,94.12%
28,"[1, 5, 7, 10]",48,94.12%
28,"[1, 5, 7, 8]",48,94.12%
28,"[1, 5, 7]",48,94.12%
28,"[1, 5, 8, 10]",48,94.12%
28,"[1, 5, 8]",48,94.12%
28,"[1, 5]",48,94.12%
28,"[1, 7, 10]",48,94.12%
28,"[1, 7, 8, 10]",48,94.12%
28,"[1, 7, 8]",48,94.12%
28,"[1, 7]",48,94.12%
28,"[1, 8, 10]",48,94.12%
28,"[1, 8]",48,94.12%
28,[1],48,94.12%
28,"[2, 10]",48,94.12%
28,"[2, 5, 10]",48,94.12%
28,"[2, 5, 7, 10]",48,94.12%
28,"[2, 5, 7, 8]",48,94.12%
28,"[2, 5, 7]",48,94.12%
28,"[2, 5, 8, 10]",48,94.12%
28,"[2, 5, 8]",48,94.12%
28,"[2, 5]",48,94.12%
28,"[2, 7, 10]",48,94.12%
28,"[2, 7, 8, 10]",48,94.12%
28,"[2, 7, 8]",48,94.12%
28,"[2, 7]",48,94.12%
28,"[2, 8, 10]",48,94.12%
28,"[2, 8]",48,94.12%
28,[2],48,94.12%
28,"[5, 10]",48,94.12%
28,"[5, 7, 10]",48,94.12%
28,"[5, 7, 8, 10]",48,94.12%
28,"[5, 7, 8]",48,94.12%
28,"[5, 7]",48,94.12%
28,"[5, 8, 10]",48,94.12%
28,"[5, 8]",48,94.12%
28,[5],48,94.12%
28,"[7, 10]",48,94.12%
28,"[7, 8, 10]",48,94.12%
