Power loading,Required,Allocated
66.4%,133333,142666.31
66.5%,133333,142666.31
66.7%,133333,142666.31
66.8%,133333,142666.31
66.9%,133333,142666.31
67.1%,133333,142666.31
67.2%,133333,142666.31
67.3%,133333,142666.31
67.5%,133333,142666.31
67.6%,133333,142666.31
67.7%,133333,142666.31
67.9%,133333,142666.31
68.0%,133333,142666.31
68.1%,133333,142666.31
68.3%,133333,142666.31
68.4%,133333,142666.31
68.5%,133333,142666.31
68.7%,133333,142666.31
68.8%,133333,142666.31
68.9%,133333,142666.31
69.1%,133333,142666.31
69.2%,133333,142666.31
69.3%,133333,142666.31
69.5%,133333,142666.31
69.6%,133333,142666.31
69.7%,133333,142666.31
69.8%,133333,142666.31
70.0%,133333,142666.31
70.1%,133333,142666.31
70.2%,133333,142666.31
70.4%,133333,142666.31
70.5%,133333,142666.31
70.6%,133333,142666.31
70.8%,133333,142666.31
70.9%,133333,142666.31
71.0%,133333,142666.31
71.2%,133333,142666.31
71.3%,133333,142666.31
71.4%,133333,142666.31
71.6%,133333,142666.31
71.7%,133333,142666.31
71.8%,133333,142666.31
72.0%,133333,142666.31
72.1%,133333,142666.31
72.2%,133333,142666.31
72.4%,133333,142666.31
72.5%,133333,142666.31
72.6%,133333,142666.31
72.8%,133333,142666.31
72.9%,133333,142666.31
73.0%,133333,142666.31
73.2%,133333,142666.31
73.3%,133333,142666.31
73.4%,133333,142666.31
73.6%,133333,142666.31
73.7%,133333,142666.31
73.8%,133333,142666.31
73.9%,133333,142666.31
74.1%,133333,142666.31
74.2%,133333,142666.31
74.3%,133333,142666.31
74.5%,133333,142666.31
74.6%,133333,142666.31
74.7%,133333,142666.31
74.9%,133333,142666.31
75.0%,133333,142666.31
75.1%,133333,142666.31
75.3%,133333,142666.31
75.4%,133333,142666.31
75.5%,133333,142666.31
75.7%,133333,142666.31
75.8%,133333,142666.31
75.9%,133333,142666.31
76.1%,133333,142666.31
76.2%,133333,142666.31
76.3%,133333,142666.31
76.5%,133333,142666.31
76.6%,133333,142666.31
76.7%,133333,142666.31
76.9%,133333,142666.31
77.0%,133333,142666.31
77.1%,133333,142666.31
77.3%,133333,142666.31
77.4%,133333,142666.31
77.5%,133333,142666.31
77.7%,133333,142666.31
77.8%,133333,142666.31
77.9%,133333,142666.31
78.0%,133333,142666.31
78.2%,133333,142666.31
78.3%,133333,142666.31
78.4%,133333,142666.31
78.6%,133333,142666.31
78.7%,133333,142666.31
78.8%,133333,142666.31
79.0%,133333,142666.31
79.1%,133333,142666.31
79.2%,133333,142666.31
79.4%,133333,142666.31
79.5%,133333,142666.31
79.6%,133333,142666.31
79.8%,133333,142666.31
79.9%,133333,142666.31
80.0%,133333,142666.31
80.2%,133333,142666.31
80.3%,133333,142666.31
80.4%,133333,142666.31
80.6%,133333,142666.31
80.7%,133333,142666.31
80.8%,133333,142666.31
81.0%,133333,142666.31
81.1%,133333,142666.31
81.2%,133333,142666.31
81.4%,133333,142666.31
81.5%,133333,142666.31
81.6%,133333,142666.31
81.8%,133333,142666.31
