INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,RELIABILITY,CONTROL,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT
ID,type,terminal_1_ID,terminal_2_ID,functional_status_a,a,length,neutral_wiredata_id,phase_wiredata_id,soil_resistivity,x_a_coordinate,x_b_coordinate,x_c_coordinate,x_n_coordinate,h_a_coordinate,h_b_coordinate,h_c_coordinate,h_n_coordinate,angle_delta_limit,operational_status_a,a_1_current,a_1_current_angle,a_2_current,a_2_current_angle,a_PU_capacity,real_power_1,reactive_power_1,real_power_2,reactive_power_2,real_power_losses,reactive_power_losses,angle_delta
