INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,RELIABILITY,RELIABILITY,RELIABILITY,CONTROL,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT
ID,type,functional_status,nominal_LL_voltage,a,expected_generation,R0,R1,voltage_angle,X0,X1,min_PU_voltage,max_PU_voltage,max_area_control_error,operational_status,a_PU_voltage,a_voltage,a_voltage_angle,a_current,a_current_angle,real_power,reactive_power,area_control_error
0,1301,1,230,1,100,0,0,0,0,0,0.9,1.1,100,1,0,0,0,0,0,0,0,0
