Water demand,Power load,Required,Allocated,Water-constrained
0.372453,0.3388,133333,142666.31,129336.31
0.372453,0.342106,133333,142666.31,129336.31
0.372453,0.345412,133333,142666.31,129336.31
0.372453,0.348718,133333,142666.31,129336.31
0.372453,0.352024,133333,142666.31,129336.31
0.372453,0.35533,133333,142666.31,129336.31
0.372453,0.358636,133333,142666.31,129336.31
0.372453,0.361942,133333,142666.31,129336.31
0.372453,0.365248,133333,142666.31,129336.31
0.372453,0.368554,133333,142666.31,129336.31
0.372453,0.37186,133333,142666.31,129336.31
0.372453,0.375166,133333,142666.31,129336.31
0.372453,0.378472,133333,142666.31,129336.31
0.372453,0.381778,133333,142666.31,129336.31
0.372453,0.385084,133333,142666.31,129336.31
0.372453,0.38839,133333,142666.31,129336.31
0.372453,0.391696,133333,142666.31,126136.31
0.372453,0.395002,133333,142666.31,122936.31
0.372453,0.398308,133333,142666.31,119736.31
0.372453,0.401614,133333,142666.31,122936.31
0.372453,0.40492,133333,142666.31,116536.31
0.372453,0.408226,133333,142666.31,113336.31
0.372453,0.411532,133333,142666.31,119336.31
0.372453,0.414838,133333,142666.31,119736.31
0.372453,0.418144,133333,142666.31,113336.31
0.372453,0.42145,133333,142666.31,116136.31
0.372453,0.424756,133333,142666.31,122936.31
0.372453,0.428062,133333,142666.31,112936.31
0.372453,0.431368,133333,142666.31,103336.31
0.372453,0.434674,133333,142666.31,113336.31
0.372453,0.43798,133333,142666.31,103336.31
0.372453,0.441286,133333,142666.31,103336.31
0.372453,0.444592,133333,142666.31,113336.31
0.372453,0.447898,133333,142666.31,113336.31
0.372453,0.451204,133333,142666.31,103336.31
0.372453,0.45451,133333,142666.31,96536.31
0.372453,0.457816,133333,142666.31,96536.31
0.372453,0.461122,133333,142666.31,113336.31
0.372453,0.464428,133333,142666.31,113336.31
0.372453,0.467734,133333,142666.31,103336.31
0.372453,0.47104,133333,142666.31,93336.31
0.372453,0.474346,133333,142666.31,93336.31
0.372453,0.477652,133333,142666.31,93336.31
0.372453,0.480958,133333,142666.31,93336.31
0.372453,0.484264,133333,142666.31,103336.31
0.372453,0.48757,133333,142666.31,93336.31
0.372453,0.490876,133333,142666.31,103336.31
0.372453,0.494182,133333,142666.31,89736.31
0.372453,0.497488,133333,142666.31,93336.31
0.372453,0.500794,133333,142666.31,93336.31
0.372453,0.5041,133333,142666.31,106536.31
0.372453,0.507406,133333,142666.31,103336.31
0.372453,0.510712,133333,142666.31,96536.31
0.372453,0.514018,133333,142666.31,93336.31
0.372453,0.517324,133333,142666.31,106536.31
0.372453,0.52063,133333,142666.31,83336.31
0.372453,0.523936,133333,142666.31,93336.31
0.372453,0.527242,133333,142666.31,93336.31
0.372453,0.530548,133333,142666.31,83336.31
0.372453,0.533854,133333,142666.31,83336.31
0.372453,0.53716,133333,142666.31,83336.31
0.372453,0.540466,133333,142666.31,83336.31
0.372453,0.543772,133333,142666.31,83336.31
0.372453,0.547078,133333,142666.31,83336.31
